Year,Artist,Artist (original),Name,Spotify,RAND
2007,COLBIE CAILLAT,COLBIE CAILLAT,Bubbly,https://open.spotify.com/track/1lkvpmrCaXK8QtliFDcHBO?si=cec2c8aaca444d19,0.085146305
2002,ROBBIE WILLIAMS,ROBBIE WILLIAMS,Feel,http://open.spotify.com/track/2Ms33RTRCT6gArrpcrPxmo,0.578427482
2002,KATE RYAN,KATE RYAN,Désenchantée,http://open.spotify.com/track/0eAvGqc9t4Wuc6gDcSi5Aa,0.215499723
2024,POST MALONE & MORGAN WALLEN,POST MALONE,I Had Some Help,https://open.spotify.com/track/7221xIgOnuakPdLqT0F3nP?si=11a921652b184408,0.73010517
1987,MICHAEL JACKSON and SIEDAH GARRETT,MICHAEL JACKSON,I Just Can't Stop Loving You,http://open.spotify.com/track/2fytePz8UsbUr8n33QBEcm,0.182737088
2011,ED SHEERAN,ED SHEERAN,The A Team,http://open.spotify.com/track/1VdZ0vKfR5jneCmWIUAMxK,0.242111834
2017,ED SHEERAN,ED SHEERAN,Shape Of You,http://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,0.230357678
1987,MADONNA,MADONNA,La Isla Bonita,http://open.spotify.com/track/6r8k1vznHrzlEKYxL4dZEe,0.998799578
2024,OSCAR AND THE WOLF,OSCAR AND THE WOLF,Somebody Without U,http://open.spotify.com/track/7lQUiU7ig8VnBUF0cHZGOH,0.379990494
2001,TRAIN,TRAIN,Drops Of Jupiter (Tell Me),https://open.spotify.com/track/2hKdd3qO7cWr2Jo0Bcs0MA,0.174609091
1994,BON JOVI,BON JOVI,Always,http://open.spotify.com/track/2RChe0r2cMoyOvuKobZy44,0.555801883
2003,CHRISTINA AGUILERA,CHRISTINA AGUILERA ,Beautiful,http://open.spotify.com/track/3TCauNPqFiniaYHBvEVoHG,0.735789863
2016,SHAWN MENDES,SHAWN MENDES,Treat You Better,http://open.spotify.com/track/3QGsuHI8jO1Rx4JWLUh9jd,0.765493461
2022,"DAVID GUETTA, BECKY HILL & ELLA HENDERSON",DAVID GUETTA,Crazy What Love Can Do,http://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq,0.839645982
2001,ALICIA KEYS,ALICIA KEYS,Fallin',http://open.spotify.com/track/3unsLiH5FXmaDWtT5Imolu,0.45315392
1985,STARSHIP,STARSHIP,We Built This City,https://open.spotify.com/track/6OnfBiiSc9RGKiBKKtZXgQ?si=bcd2badbce474455,0.367972261
2007,FOO FIGHTERS,FOO FIGHTERS,The Pretender,http://open.spotify.com/track/6HNruFQlzQx4ulL4ppRLYI,0.32628477
1975,BOB MARLEY and THE WAILERS,BOB MARLEY & THE WAILERS,"No Woman, No Cry",http://open.spotify.com/track/423hwXFgoN8RYmqLoLuVvY,0.218527154
1985,ZZ TOP,ZZ TOP,Gimme All Your Lovin',http://open.spotify.com/track/0OBwxFLu6Yj61s2OagYbgY,0.818584394
2012,SWEDISH HOUSE MAFIA,SWEDISH HOUSE MAFIA,Don't You Worry Child,http://open.spotify.com/track/2V65y3PX4DkRhy1djlxd9p,0.747362987
2018,IMAGINE DRAGONS,IMAGINE DRAGONS,Natural,https://open.spotify.com/track/4zIO3ilp5HvTeK3HJHxhMP?si=if18x1c4SjmCKpWdapK7ww,0.004498198
2007,AMY WINEHOUSE and MARK RONSON,AMY WINEHOUSE,Valerie,https://open.spotify.com/track/4BfRDZLIiznSnwU7DdDL9N,0.886650992
2014,GALANTIS,GALANTIS,Runaway (U & I),http://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo,0.638256569
2010,KATY PERRY,KATY PERRY,Last Friday Night,http://open.spotify.com/track/455AfCsOhhLPRc68sE01D8,0.174119997
1996,FAITHLESS,FAITHLESS,Insomnia,http://open.spotify.com/track/7gWc0QEt2hoIkMv3XxPY1T,0.685880319
1992,RAGE AGAINST THE MACHINE,RAGE AGAINST THE MACHINE,Killing In The Name,http://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp,0.229786732
1985,BRUCE SPRINGSTEEN,BRUCE SPRINGSTEEN,Dancing In The Dark,http://open.spotify.com/track/7FwBtcecmlpc1sLySPXeGE,0.285870451
1982,ABBA,ABBA,Happy New Year,http://open.spotify.com/track/4oUfwAQJZGPufJHHzUNByB,0.782932012
1990,CLOUSEAU,CLOUSEAU,Daar Gaat Ze,http://open.spotify.com/track/1pQcaYky2rRxSeUdZld9xk,0.093251214
1975,DE STRANGERS,DE STRANGERS,Oh Mijnen Blauwe Geschelpte,https://open.spotify.com/track/0LXgI2t317SYsnnhdQTQfa?si=62c9ac3ea4274643,0.141868299
1986,MICHAEL JACKSON,MICHAEL JACKSON,Man In The Mirror,http://open.spotify.com/track/1kiNatIrwDusOZfR29W0LJ,0.934997674
1997,NO DOUBT,NO DOUBT,Don't Speak,http://open.spotify.com/track/6urCAbunOQI4bLhmGpX7iS,0.534020506
2005,JAMES BLUNT,JAMES BLUNT,You're Beautiful,http://open.spotify.com/track/0vg4WnUWvze6pBOJDTq99k,0.385792384
2010,TRAIN,TRAIN,"Hey, Soul Sister",http://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv,0.82122799
